OR,ci_low,ci_high,source,variable
0.980871684276933,0.9680856567163363,0.9938265837753032,environmental,DS_Entero_cp
0.9750010865419594,0.9431245447689061,1.0079550193351545,environmental,ESBL_cp
0.9893524762560196,0.9358574388320846,1.0459053715440323,environmental,CDiff_cp
0.9868012141924805,0.9527908970003133,1.0220255455814178,environmental,VSE_cp
1.048148301019063,0.9873253481917772,1.112718176375387,environmental,VRE_cp
0.9945637951527828,0.9647246600284393,1.0253258609555467,environmental,MSSA_cp
1.0687856811306327,1.015935277893623,1.1243854377793139,environmental,MRSA_cp
1.0203908550655756,0.9714499331774615,1.0717973840359036,environmental,DS_PsA_cp
1.0204427918530166,0.9509613969863797,1.0950008010258832,environmental,DR_PsA_cp
0.9583473656496272,0.7639846789866189,1.202157187845473,environmental,any_surgery
1.0047331164360023,1.0000242989591714,1.0094641063360963,environmental,elix_index_mortality
0.8589071179120671,0.45109239579704036,1.6354109359270512,patient,penicillin_0_60
0.7841155436711162,0.5066852457542126,1.2134499494088307,patient,extended_spectrum_penicillin_0_60
0.923989219531288,0.7122325514247966,1.1987040975621364,patient,cephalosporin_0_60
0.46223868392332623,0.18566486782679784,1.1508079229856836,patient,extended_spectrum_cephalosporin_0_60
1.032399188623854,0.831530886501287,1.2817901318804978,patient,fluoroquinolone_0_60
0.24497084717519177,0.0942117190044652,0.6369771892484727,patient,sulfonamide_0_60
1.9481373938813429,0.9360360133103369,4.054586844385124,patient,glycopeptide_0_60
0.9238460972534753,0.35510831818701954,2.403468372039041,patient,anti_Cdiff_0_60
0.4100848863733111,0.08252627636489643,2.037770531269777,patient,anti_anaerobe_0_60
1.0956323165294282,0.2913526698181267,4.1201275889216395,patient,lincosamide_0_60
0.9045535154821694,0.6207766974448491,1.3180537635175058,patient,macrolide_0_60
0.8728024615389489,0.6227549731894582,1.2232485803637154,patient,tetracycline_0_60
1.0027955908286839,0.9980618612213441,1.00755177214655,patient,elix_index_mortality
0.9894895194012514,0.9858347147937163,0.993157873538458,patient,age
1.83586378090229,1.589001512858894,2.121077793038041,patient,sex_male
