analysis,group,n,mean_age,mean_duration
environmental,case,1101,58.79818346957312,7.55858310626703
environmental,control,2397,57.64201084689194,4.655611180642469
patient,case,1102,62.28947368421053,7.856533575317604
patient,control,2656,66.30719126506024,4.88851656626506
